Episode,Seed,Sparsity,Total Steps,Reward,Completion Rate
520,800890,0.3,180,82.90557627,0.48
521,588881,0.5,109,73.31683365,0.809
522,774505,0.5,155,88.04737884,0.655
523,680488,0.3,154,88.40297481,0.654
524,641044,0.5,147,100.1715561,0.847
525,291869,0.3,160,91.30318543,0.66
526,722705,0.7,127,85.824119,0.827
527,917565,0.7,116,52.51974615,0.416
528,207520,0.3,188,87.81786436,0.488
529,752691,0.5,170,116.6732543,0.87
530,893225,0.3,132,75.08609226,0.632
531,561364,0.5,141,95.60534355,0.841
532,373076,0.7,198,116.6745778,0.698
533,311266,0.3,158,71.88721339,0.458
534,109982,0.3,149,101.0822808,0.849
535,885366,0.7,116,77.92777985,0.816
536,588204,0.5,128,57.49873525,0.428
537,367502,0.5,175,101.5146726,0.675
538,992719,0.3,204,119.8295347,0.704
539,615391,0.7,168,115.1152055,0.868
540,626906,0.3,127,56.89870061,0.427
541,569545,0.5,133,90.47555315,0.833
542,10497,0.5,102,56.74756193,0.602
543,424080,0.7,212,124.6323941,0.712
544,118703,0.7,207,97.80960548,0.507
545,347052,0.5,190,89.59642607,0.49
546,901925,0.7,147,83.99616838,0.647
547,355770,0.3,154,70.9380036,0.454
548,825289,0.7,142,96.70130539,0.842
549,305230,0.5,167,77.87492096,0.467
550,254332,0.7,154,88.2545757,0.654
551,374559,0.5,166,75.42886467,0.466
552,475491,0.3,231,137.3983332,0.731
553,682150,0.7,140,94.7018137,0.84
554,932340,0.5,120,53.6000205,0.42
555,93085,0.5,120,66.69187289,0.62
556,247146,0.5,141,80.42668971,0.641
557,88780,0.3,148,84.04375336,0.648
558,980947,0.5,141,95.62700602,0.841
559,715036,0.5,122,69.33401465,0.622
560,78380,0.7,147,82.8840847,0.647
561,668418,0.3,172,80.34386846,0.472
562,810838,0.5,117,78.31397086,0.817
563,461818,0.3,156,89.35829493,0.656
564,199760,0.7,100,66.8576718,0.8
565,952719,0.5,150,68.80896455,0.45
566,282296,0.7,203,117.6475384,0.703
567,852,0.5,180,84.488334,0.48
568,535801,0.5,152,87.69580662,0.652
569,280383,0.5,165,95.49146101,0.665
570,970967,0.3,140,79.74507117,0.64
571,903374,0.7,138,93.25101405,0.838
572,909184,0.3,212,99.9309614,0.512
573,774437,0.5,101,67.76450515,0.801
574,631976,0.5,87,48.32326603,0.587
575,671771,0.7,128,71.96074176,0.628
576,958077,0.3,138,62.03143039,0.438
577,516255,0.5,152,103.6683912,0.852
578,932840,0.5,109,61.16120392,0.609
579,262937,0.5,147,84.21272728,0.647
580,304514,0.5,114,63.42809099,0.614
581,623984,0.3,145,82.46156716,0.645
582,753266,0.5,133,89.87671825,0.833
583,763407,0.7,185,107.5384649,0.685
584,533575,0.7,190,89.12956828,0.49
585,204953,0.7,223,106.1734135,0.523
586,54624,0.3,184,85.57828857,0.484
587,119645,0.5,164,112.8619324,0.864
588,319518,0.5,65,35.08618906,0.565
589,868156,0.3,158,90.27321681,0.658
590,155636,0.7,172,117.7199048,0.872
591,145071,0.7,143,65.19862555,0.443
592,920660,0.3,147,68.25675887,0.447
593,249176,0.3,124,83.83362544,0.824
594,770160,0.7,113,75.74189603,0.813
595,943669,0.3,185,86.02305207,0.485
596,923962,0.5,157,107.3274302,0.857
597,113688,0.3,157,90.29594725,0.657
598,192378,0.5,161,109.9653017,0.861
599,50735,0.7,135,76.70452422,0.635
600,886392,0.5,181,86.16840331,0.481
601,301577,0.3,130,73.29083878,0.63
602,33754,0.3,132,88.96295968,0.832
603,159755,0.5,127,85.1434325,0.827
604,20697,0.7,111,61.92751765,0.611
605,528156,0.7,149,68.32381716,0.449
606,6576,0.3,152,69.70036505,0.452
607,105844,0.3,147,99.72828266,0.847
608,268841,0.3,144,98.15457186,0.844
609,789292,0.5,94,62.14374366,0.794
610,661664,0.7,132,74.95603412,0.632
611,965134,0.5,139,62.08051409,0.439
612,287947,0.7,176,102.1916178,0.676
613,668024,0.3,170,77.91457188,0.47
614,316428,0.3,174,119.9188056,0.874
615,669430,0.5,94,62.60000321,0.794
616,215942,0.5,152,86.90539417,0.652
617,765555,0.3,121,67.65754497,0.621
618,817174,0.7,124,83.03078762,0.824
619,284899,0.3,168,77.600924,0.468
620,697163,0.5,166,113.8545898,0.866
621,38496,0.3,69,37.97893593,0.569
622,702935,0.3,100,66.94018844,0.8
623,154955,0.7,143,97.07237718,0.843
624,136550,0.5,124,56.17859925,0.424
625,126896,0.7,179,103.4657817,0.679
626,948590,0.3,131,59.44898368,0.431
627,486973,0.3,186,128.5221911,0.886
628,267504,0.5,117,78.44638419,0.817
629,278197,0.5,123,69.29988426,0.623
630,542801,0.3,156,89.07425177,0.656
631,392578,0.7,160,109.7088718,0.86
632,119732,0.5,89,38.06434077,0.389
633,844142,0.5,172,98.50538465,0.672
634,658032,0.5,181,104.3862335,0.681
635,243836,0.7,179,103.2256485,0.679
636,866640,0.5,153,70.90959103,0.453
637,340516,0.5,139,78.14714652,0.639
638,772780,0.3,163,93.35494891,0.663
639,518987,0.3,124,82.70907864,0.824
640,199608,0.5,116,78.06166315,0.816
641,679171,0.3,203,119.5761264,0.703
642,271858,0.3,127,85.58083549,0.827
643,202792,0.5,130,87.74488035,0.83
644,833256,0.5,100,55.24997944,0.6
645,104131,0.5,102,56.21409571,0.602
646,608036,0.5,137,77.53745526,0.637
647,554373,0.5,156,89.4044736,0.656
648,324394,0.5,135,76.23652813,0.635
649,842055,0.7,143,81.40666872,0.643
650,627614,0.5,216,103.9297969,0.516
651,639376,0.3,198,115.2641409,0.698
652,292483,0.3,129,87.21553904,0.829
653,461101,0.3,129,87.64636239,0.829
654,707529,0.3,116,77.87112525,0.816
655,332986,0.7,109,72.85041717,0.809
